cluster_id,theme,size,mean_probability,persistence,persistence_display,representative_papers
-1,noise,1,0.0,,n/a,Resistance mechanisms in payload efflux: study 3
1,Review hub: HER3 targeting x site-specific conjugation,125,0.9837747869359361,0.19099021912308642,0.191,"Landscape review of HER3 targeting, site-specific conjugation, and antigen loss | Landscape review of HER3 targeting, site-specific conjugation, and antigen loss | Landscape review of HER3 targeting, site-specific conjugation, and antigen loss | Landscape review of HER3 targeting, site-specific conjugation, and antigen loss | Landscape review of HER3 targeting, site-specific conjugation, and antigen loss"
2,Target biology,125,0.9772029104134049,0.25676859018548953,0.257,Target biology for TROP2 programs: study 446 | Target biology for TROP2 programs: study 158 | Target biology for TROP2 programs: study 382 | Target biology for TROP2 programs: study 30 | Target biology for TROP2 programs: study 486
3,Review hub: TROP2 programs x cleavable linkers,125,0.9844442308705283,0.18263632731480134,0.183,"Landscape review of TROP2 programs, cleavable linkers, and lysosomal processing | Landscape review of TROP2 programs, cleavable linkers, and lysosomal processing | Landscape review of TROP2 programs, cleavable linkers, and lysosomal processing | Landscape review of TROP2 programs, cleavable linkers, and lysosomal processing | Landscape review of TROP2 programs, cleavable linkers, and lysosomal processing"
4,Target biology,125,0.9790330955458274,0.2430952024354794,0.243,Target biology for LIV1 selection: study 252 | Target biology for LIV1 selection: study 52 | Target biology for LIV1 selection: study 140 | Target biology for LIV1 selection: study 68 | Target biology for LIV1 selection: study 332
5,Review hub: HER2 ADCs x tubulin payloads,125,0.9791181890453536,0.09319915726178395,0.093,"Landscape review of HER2 ADCs, tubulin payloads, and payload efflux | Landscape review of HER2 ADCs, tubulin payloads, and payload efflux | Landscape review of HER2 ADCs, tubulin payloads, and payload efflux | Landscape review of HER2 ADCs, tubulin payloads, and payload efflux | Landscape review of HER2 ADCs, tubulin payloads, and payload efflux"
6,Review hub: LIV1 selection x topoisomerase payloads,125,0.9822313736684156,0.1065459895481177,0.107,"Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect | Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect | Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect | Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect | Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect"
7,Linker and payload,125,0.9841311739760734,0.24243555538610487,0.242,Linker-payload optimization for cleavable linkers: study 343 | Linker-payload optimization for cleavable linkers: study 295 | Linker-payload optimization for cleavable linkers: study 499 | Linker-payload optimization for cleavable linkers: study 311 | Linker-payload optimization for cleavable linkers: study 179
8,Target biology,125,0.9753018645318035,0.21126607882457818,0.211,Target biology for HER2 ADCs: study 53 | Target biology for HER2 ADCs: study 45 | Target biology for HER2 ADCs: study 473 | Target biology for HER2 ADCs: study 297 | Target biology for HER2 ADCs: study 197
9,Linker and payload,125,0.9772612011651605,0.2595117876942272,0.260,Linker-payload optimization for site-specific conjugation: study 228 | Linker-payload optimization for site-specific conjugation: study 256 | Linker-payload optimization for site-specific conjugation: study 180 | Linker-payload optimization for site-specific conjugation: study 308 | Linker-payload optimization for site-specific conjugation: study 408
10,Resistance and bystander,125,0.9780604582078233,0.1462631701592097,0.146,Resistance mechanisms in bystander effect: study 242 | Resistance mechanisms in bystander effect: study 430 | Resistance mechanisms in bystander effect: study 274 | Resistance mechanisms in bystander effect: study 422 | Resistance mechanisms in bystander effect: study 374
11,Linker and payload,250,0.999885095697929,0.06627384292001891,0.066,Linker-payload optimization for topoisomerase payloads: study 145 | Linker-payload optimization for topoisomerase payloads: study 401 | Linker-payload optimization for topoisomerase payloads: study 413 | Linker-payload optimization for tubulin payloads: study 282 | Linker-payload optimization for topoisomerase payloads: study 273
12,Safety translation,125,0.9787538011349126,0.15731046306222243,0.157,Clinical safety translation of ocular toxicity: study 318 | Clinical safety translation of ocular toxicity: study 466 | Clinical safety translation of ocular toxicity: study 266 | Clinical safety translation of ocular toxicity: study 78 | Clinical safety translation of ocular toxicity: study 138
13,Safety translation,250,0.9830644362608886,0.10018545187008356,0.100,Clinical safety translation of dose optimization: study 108 | Clinical safety translation of hematologic toxicity: study 195 | Clinical safety translation of dose optimization: study 192 | Clinical safety translation of dose optimization: study 468 | Clinical safety translation of hematologic toxicity: study 171
14,Safety translation,125,0.9735602083884365,0.22975743852818656,0.230,Clinical safety translation of interstitial lung disease: study 493 | Clinical safety translation of interstitial lung disease: study 57 | Clinical safety translation of interstitial lung disease: study 37 | Clinical safety translation of interstitial lung disease: study 421 | Clinical safety translation of interstitial lung disease: study 369
15,Target biology,125,0.9775012440719746,0.1180108211575574,0.118,Target biology for HER3 targeting: study 179 | Target biology for HER3 targeting: study 71 | Target biology for HER3 targeting: study 283 | Target biology for HER3 targeting: study 255 | Target biology for HER3 targeting: study 415
16,Bridge: Safety translation x Target biology,125,0.9846856571026901,0.19708621017835548,0.197,Integrated analysis of dose optimization with HER3 targeting: study 176 | Integrated analysis of dose optimization with HER3 targeting: study 444 | Integrated analysis of dose optimization with HER3 targeting: study 196 | Integrated analysis of dose optimization with HER3 targeting: study 284 | Integrated analysis of dose optimization with HER3 targeting: study 16
17,Resistance and bystander,125,0.9784330533305646,0.1077470336712874,0.108,Resistance mechanisms in antigen loss: study 317 | Resistance mechanisms in antigen loss: study 229 | Resistance mechanisms in antigen loss: study 101 | Resistance mechanisms in antigen loss: study 293 | Resistance mechanisms in antigen loss: study 193
18,Resistance and bystander,249,0.9971316825109436,0.048850004834125375,0.049,Resistance mechanisms in payload efflux: study 191 | Resistance mechanisms in lysosomal processing: study 412 | Resistance mechanisms in payload efflux: study 227 | Resistance mechanisms in payload efflux: study 91 | Resistance mechanisms in lysosomal processing: study 360
19,Bridge: Target biology x Linker and payload,125,0.9877434746890317,0.10140630054559245,0.101,Integrated analysis of HER2 ADCs with topoisomerase payloads: study 145 | Integrated analysis of HER2 ADCs with topoisomerase payloads: study 237 | Integrated analysis of HER2 ADCs with topoisomerase payloads: study 125 | Integrated analysis of HER2 ADCs with topoisomerase payloads: study 373 | Integrated analysis of HER2 ADCs with topoisomerase payloads: study 257
20,Bridge: Resistance and bystander x Safety translation,125,0.981836190493919,0.14577691528314596,0.146,Integrated analysis of payload efflux with interstitial lung disease: study 255 | Integrated analysis of payload efflux with interstitial lung disease: study 419 | Integrated analysis of payload efflux with interstitial lung disease: study 483 | Integrated analysis of payload efflux with interstitial lung disease: study 415 | Integrated analysis of payload efflux with interstitial lung disease: study 231
21,Bridge: Linker and payload x Resistance and bystander,125,0.9800577317471001,0.0973539355761101,0.097,Integrated analysis of tubulin payloads with payload efflux: study 498 | Integrated analysis of tubulin payloads with payload efflux: study 214 | Integrated analysis of tubulin payloads with payload efflux: study 418 | Integrated analysis of tubulin payloads with payload efflux: study 298 | Integrated analysis of tubulin payloads with payload efflux: study 26
