component,explained_variance_ratio
PC1,0.04187121707058042
PC2,0.03472248913767839
PC3,0.033379817983954556
PC4,0.029694068026445447
PC5,0.02672648475655585
PC6,0.020513925815424317
PC7,0.01979866936991229
PC8,0.017391815471874083
PC9,0.016498634064146832
PC10,0.013409849970742266
PC11,0.012829721359400055
PC12,0.01277258253670845
PC13,0.01238417815098986
PC14,0.011977862106457531
PC15,0.011166780228571538
PC16,0.010765781548011345
PC17,0.009885369090203005
PC18,0.009535706793126118
PC19,0.009046331640347138
PC20,0.0089500630200908
PC21,0.007227110868058576
PC22,0.0071488062506737966
PC23,0.006966515571703623
PC24,0.0068067390919544415
PC25,0.006660879177134671
PC26,0.006570875244122991
PC27,0.006425985290710782
PC28,0.006319583340165966
PC29,0.006088626452280117
PC30,0.0058763122792598104
PC31,0.005833753206607852
PC32,0.005724300169829248
PC33,0.005618338320464665
PC34,0.0054317021522290775
PC35,0.005318842856975108
PC36,0.0051553791120368475
PC37,0.005107659437516644
PC38,0.004984834372873236
PC39,0.0048026323920944474
PC40,0.004759650563665895
PC41,0.004585740514792597
PC42,0.0044126837708922265
PC43,0.0043615553294476936
PC44,0.004136737224884277
PC45,0.003891822967945082
PC46,0.0038244584285696006
PC47,0.003613009131373437
PC48,0.003501971208083337
PC49,0.003371672988455296
PC50,0.0032289946489599246
