component,explained_variance_ratio,direction,rank,term,loading
PC1,0.04187121707058042,positive,1,review,0.273632397185195
PC1,0.04187121707058042,positive,2,sep review,0.16053033291695135
PC1,0.04187121707058042,positive,3,field,0.16053033291695135
PC1,0.04187121707058042,positive,4,landscape review,0.16053033291695135
PC1,0.04187121707058042,positive,5,frames,0.16053033291695135
PC1,0.04187121707058042,negative,1,toxicity,-0.20567362860254557
PC1,0.04187121707058042,negative,2,translation,-0.1662254212756645
PC1,0.04187121707058042,negative,3,safety,-0.16367255834619635
PC1,0.04187121707058042,negative,4,lung,-0.14260916012171404
PC1,0.04187121707058042,negative,5,safety translation,-0.14257853838843687
PC2,0.03472248913767839,positive,1,sep paper,0.20624562344896724
PC2,0.03472248913767839,positive,2,integrated,0.20624562344896724
PC2,0.03472248913767839,positive,3,analysis,0.20624562344896724
PC2,0.03472248913767839,positive,4,mixed,0.20624562344896724
PC2,0.03472248913767839,positive,5,contexts,0.20624562344896724
PC2,0.03472248913767839,negative,1,toxicity,-0.09945534562371007
PC2,0.03472248913767839,negative,2,discusses links,-0.08316631281710332
PC2,0.03472248913767839,negative,3,sep study,-0.08316631281710332
PC2,0.03472248913767839,negative,4,alongside,-0.08316631281710332
PC2,0.03472248913767839,negative,5,examines,-0.08316631281710332
PC3,0.033379817983954556,positive,1,linker,0.25608441064678206
PC3,0.033379817983954556,positive,2,linker payload,0.18761978863530032
PC3,0.033379817983954556,positive,3,payload optimization,0.17949513550962123
PC3,0.033379817983954556,positive,4,payload,0.16290742116038687
PC3,0.033379817983954556,positive,5,specific,0.14199958694767031
PC3,0.033379817983954556,negative,1,review,-0.2267576623834923
PC3,0.033379817983954556,negative,2,review connects,-0.13180258204672726
PC3,0.033379817983954556,negative,3,field,-0.13180258204672726
PC3,0.033379817983954556,negative,4,landscape review,-0.13180258204672726
PC3,0.033379817983954556,negative,5,landscape,-0.13180258204672726
PC4,0.029694068026445447,positive,1,target,0.20058954673330665
PC4,0.029694068026445447,positive,2,biology,0.18775458559866137
PC4,0.029694068026445447,positive,3,target biology,0.16679252129244015
PC4,0.029694068026445447,positive,4,selection,0.1300802150154333
PC4,0.029694068026445447,positive,5,mechanisms,0.10204325707811447
PC4,0.029694068026445447,negative,1,toxicity,-0.17452496530312273
PC4,0.029694068026445447,negative,2,linker,-0.1468788575578967
PC4,0.029694068026445447,negative,3,safety,-0.1309507858485326
PC4,0.029694068026445447,negative,4,site specific,-0.13031253095180398
PC4,0.029694068026445447,negative,5,site,-0.13031253095180398
