cluster_id,theme,size,mean_probability,persistence,persistence_display,representative_papers
-1,noise,10,0.0,,n/a,Residual disease monitoring in ctDNA surveillance: study 413 | Residual disease monitoring in ctDNA surveillance: study 45 | Residual disease monitoring in ctDNA surveillance: study 9 | Residual disease monitoring in ctDNA surveillance: study 417 | Endocrine resistance strategy for CDK4/6 adaptation: study 2
1,Review hub: brain metastases x selective estrogen degraders,125,0.9893778377319417,0.1753848562185233,0.175,"Landscape review of brain metastases, selective estrogen degraders, and triple-negative disease | Landscape review of brain metastases, selective estrogen degraders, and triple-negative disease | Landscape review of brain metastases, selective estrogen degraders, and triple-negative disease | Landscape review of brain metastases, selective estrogen degraders, and triple-negative disease | Landscape review of brain metastases, selective estrogen degraders, and triple-negative disease"
2,TNBC immunotherapy,125,0.983767066258993,0.2797516319928101,0.280,Immunotherapy programs in triple-negative disease: study 481 | Immunotherapy programs in triple-negative disease: study 489 | Immunotherapy programs in triple-negative disease: study 69 | Immunotherapy programs in triple-negative disease: study 385 | Immunotherapy programs in triple-negative disease: study 493
3,Review hub: HER2 resistance x PI3K pathway,125,0.985294283830064,0.0944897698517774,0.094,"Landscape review of HER2 resistance, PI3K pathway, and combination checkpoint blockade | Landscape review of HER2 resistance, PI3K pathway, and combination checkpoint blockade | Landscape review of HER2 resistance, PI3K pathway, and combination checkpoint blockade | Landscape review of HER2 resistance, PI3K pathway, and combination checkpoint blockade | Landscape review of HER2 resistance, PI3K pathway, and combination checkpoint blockade"
4,Review hub: HER2 antibody combinations x ESR1 mutations,250,0.9995504119940523,0.06109516206569735,0.061,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification | Landscape review of HER2-low disease, CDK4/6 adaptation, and microenvironment phenotypes | Landscape review of HER2-low disease, CDK4/6 adaptation, and microenvironment phenotypes | Landscape review of HER2-low disease, CDK4/6 adaptation, and microenvironment phenotypes | Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification"
5,TNBC immunotherapy,125,0.9763770491476798,0.28473567375120107,0.285,Immunotherapy programs in combination checkpoint blockade: study 96 | Immunotherapy programs in combination checkpoint blockade: study 272 | Immunotherapy programs in combination checkpoint blockade: study 344 | Immunotherapy programs in combination checkpoint blockade: study 92 | Immunotherapy programs in combination checkpoint blockade: study 452
6,Endocrine resistance,125,0.9777140003739443,0.30052425469673166,0.301,Endocrine resistance strategy for selective estrogen degraders: study 228 | Endocrine resistance strategy for selective estrogen degraders: study 348 | Endocrine resistance strategy for selective estrogen degraders: study 480 | Endocrine resistance strategy for selective estrogen degraders: study 156 | Endocrine resistance strategy for selective estrogen degraders: study 392
7,TNBC immunotherapy,125,0.97757676431385,0.19914351240816888,0.199,Immunotherapy programs in PD-L1 stratification: study 298 | Immunotherapy programs in PD-L1 stratification: study 498 | Immunotherapy programs in PD-L1 stratification: study 30 | Immunotherapy programs in PD-L1 stratification: study 490 | Immunotherapy programs in PD-L1 stratification: study 494
8,Endocrine resistance,125,0.9821820960395196,0.12623483581327388,0.126,Endocrine resistance strategy for PI3K pathway: study 63 | Endocrine resistance strategy for PI3K pathway: study 171 | Endocrine resistance strategy for PI3K pathway: study 487 | Endocrine resistance strategy for PI3K pathway: study 207 | Endocrine resistance strategy for PI3K pathway: study 231
9,HER2 biology,125,0.9822547108088685,0.20730651561480906,0.207,HER2-focused development in HER2 antibody combinations: study 460 | HER2-focused development in HER2 antibody combinations: study 220 | HER2-focused development in HER2 antibody combinations: study 320 | HER2-focused development in HER2 antibody combinations: study 88 | HER2-focused development in HER2 antibody combinations: study 352
10,HER2 biology,250,0.9995052479823154,0.0981075614876373,0.098,HER2-focused development in HER2-low disease: study 409 | HER2-focused development in HER2-low disease: study 165 | HER2-focused development in HER2 resistance: study 18 | HER2-focused development in HER2 resistance: study 286 | HER2-focused development in HER2-low disease: study 429
