component,explained_variance_ratio
PC1,0.044473130900893165
PC2,0.03541080216808617
PC3,0.03472237754789315
PC4,0.03330131311943334
PC5,0.03099284596480297
PC6,0.023828290659882397
PC7,0.019987799406531042
PC8,0.018475496914060766
PC9,0.015614616115117767
PC10,0.014811349515363602
PC11,0.013588439128288693
PC12,0.013510572711456843
PC13,0.012761668181336581
PC14,0.011917128116732588
PC15,0.01156155710173772
PC16,0.010639229077903786
PC17,0.010067682651050956
PC18,0.00934397119931683
PC19,0.008518416521151293
PC20,0.008374455498821777
PC21,0.007088291217111097
PC22,0.006828911778051656
PC23,0.0066083655426963156
PC24,0.006372052409311918
PC25,0.006320808061275864
PC26,0.006164684572802731
PC27,0.0060660234100604355
PC28,0.005995366576969979
PC29,0.005944423763266382
PC30,0.00587886172744609
PC31,0.00570877400851443
PC32,0.005698770415063671
PC33,0.005482382774460515
PC34,0.005401840321604081
PC35,0.0052330147285849764
PC36,0.0051418694927146584
PC37,0.005060592584559138
PC38,0.004972863332870314
PC39,0.004651831776585858
PC40,0.0046155048232229415
PC41,0.004458595561202576
PC42,0.004416696426563159
PC43,0.004318110225640489
PC44,0.004124140755350988
PC45,0.003927697557197858
PC46,0.0038505114702584832
PC47,0.003587472288979944
PC48,0.0034733490790714405
PC49,0.003349688930249265
PC50,0.0032025621035839196
