cluster_id,theme,size,mean_probability,persistence,persistence_display,representative_papers
1,Review hub: interferon-gamma signatures x tumor microenvironment,125,0.9846547435229721,0.1555900727666701,0.156,"Landscape review of interferon-gamma signatures, tumor microenvironment, and VEGF blockade | Landscape review of interferon-gamma signatures, tumor microenvironment, and VEGF blockade | Landscape review of interferon-gamma signatures, tumor microenvironment, and VEGF blockade | Landscape review of interferon-gamma signatures, tumor microenvironment, and VEGF blockade | Landscape review of interferon-gamma signatures, tumor microenvironment, and VEGF blockade"
2,Checkpoint biomarkers,125,0.9843790610507616,0.21562266250598014,0.216,Biomarker mapping for T-cell exhaustion: study 348 | Biomarker mapping for T-cell exhaustion: study 88 | Biomarker mapping for T-cell exhaustion: study 200 | Biomarker mapping for T-cell exhaustion: study 500 | Biomarker mapping for T-cell exhaustion: study 232
3,Review hub: T-cell exhaustion x immune niches,125,0.9791252092612415,0.1197855443858177,0.120,"Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming | Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming | Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming | Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming | Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming"
4,Combination strategy,125,0.9826042832633521,0.22619265831297297,0.226,Combination immunotherapy strategy in radiotherapy priming: study 266 | Combination immunotherapy strategy in radiotherapy priming: study 386 | Combination immunotherapy strategy in radiotherapy priming: study 422 | Combination immunotherapy strategy in radiotherapy priming: study 42 | Combination immunotherapy strategy in radiotherapy priming: study 462
5,Review hub: PD-L1 scoring x lymphocyte states,125,0.9849076531154625,0.12243466824751917,0.122,"Landscape review of PD-L1 scoring, lymphocyte states, and bispecific activation | Landscape review of PD-L1 scoring, lymphocyte states, and bispecific activation | Landscape review of PD-L1 scoring, lymphocyte states, and bispecific activation | Landscape review of PD-L1 scoring, lymphocyte states, and bispecific activation | Landscape review of PD-L1 scoring, lymphocyte states, and bispecific activation"
6,Review hub: PD-1 response x macrophage barriers,125,0.9837608467692069,0.09114766960408327,0.091,"Landscape review of PD-1 response, macrophage barriers, and neoantigen vaccination | Landscape review of PD-1 response, macrophage barriers, and neoantigen vaccination | Landscape review of PD-1 response, macrophage barriers, and neoantigen vaccination | Landscape review of PD-1 response, macrophage barriers, and neoantigen vaccination | Landscape review of PD-1 response, macrophage barriers, and neoantigen vaccination"
7,Combination strategy,125,0.9828110020138185,0.23522722840547972,0.235,Combination immunotherapy strategy in bispecific activation: study 432 | Combination immunotherapy strategy in bispecific activation: study 116 | Combination immunotherapy strategy in bispecific activation: study 12 | Combination immunotherapy strategy in bispecific activation: study 236 | Combination immunotherapy strategy in bispecific activation: study 180
8,Combination strategy,125,0.9805820067710934,0.21419641035867007,0.214,Combination immunotherapy strategy in VEGF blockade: study 373 | Combination immunotherapy strategy in VEGF blockade: study 245 | Combination immunotherapy strategy in VEGF blockade: study 209 | Combination immunotherapy strategy in VEGF blockade: study 293 | Combination immunotherapy strategy in VEGF blockade: study 57
9,Microenvironment profiling,125,0.9843252719767019,0.2321062016375821,0.232,Spatial and single-cell profiling of lymphocyte states: study 63 | Spatial and single-cell profiling of lymphocyte states: study 447 | Spatial and single-cell profiling of lymphocyte states: study 43 | Spatial and single-cell profiling of lymphocyte states: study 291 | Spatial and single-cell profiling of lymphocyte states: study 339
10,Microenvironment profiling,125,0.9818684995639257,0.22602841380465005,0.226,Spatial and single-cell profiling of tumor microenvironment: study 272 | Spatial and single-cell profiling of tumor microenvironment: study 144 | Spatial and single-cell profiling of tumor microenvironment: study 492 | Spatial and single-cell profiling of tumor microenvironment: study 136 | Spatial and single-cell profiling of tumor microenvironment: study 204
11,Combination strategy,125,0.9809636117860141,0.15927922283832577,0.159,Combination immunotherapy strategy in neoantigen vaccination: study 127 | Combination immunotherapy strategy in neoantigen vaccination: study 167 | Combination immunotherapy strategy in neoantigen vaccination: study 291 | Combination immunotherapy strategy in neoantigen vaccination: study 407 | Combination immunotherapy strategy in neoantigen vaccination: study 371
12,Toxicity management,125,0.9745181866202126,0.09008074057003018,0.090,Management of immune-related myocarditis: study 218 | Management of immune-related myocarditis: study 74 | Management of immune-related myocarditis: study 42 | Management of immune-related myocarditis: study 262 | Management of immune-related myocarditis: study 270
13,Toxicity management,125,0.9774565383071052,0.08018315356235407,0.080,Management of immune-related pneumonitis: study 139 | Management of immune-related pneumonitis: study 155 | Management of immune-related pneumonitis: study 475 | Management of immune-related pneumonitis: study 151 | Management of immune-related pneumonitis: study 347
14,Toxicity management,250,0.9918331872505264,0.05162228046962892,0.052,Management of immune-related endocrinopathies: study 480 | Management of immune-related endocrinopathies: study 444 | Management of immune-related colitis: study 185 | Management of immune-related colitis: study 229 | Management of immune-related endocrinopathies: study 100
15,Microenvironment profiling,125,0.9813578681256081,0.13719505348168423,0.137,Spatial and single-cell profiling of macrophage barriers: study 278 | Spatial and single-cell profiling of macrophage barriers: study 138 | Spatial and single-cell profiling of macrophage barriers: study 310 | Spatial and single-cell profiling of macrophage barriers: study 438 | Spatial and single-cell profiling of macrophage barriers: study 410
16,Microenvironment profiling,125,0.984189205353688,0.11944562389996781,0.119,Spatial and single-cell profiling of immune niches: study 161 | Spatial and single-cell profiling of immune niches: study 337 | Spatial and single-cell profiling of immune niches: study 493 | Spatial and single-cell profiling of immune niches: study 249 | Spatial and single-cell profiling of immune niches: study 285
17,Checkpoint biomarkers,125,0.9842489591732864,0.1786744898408051,0.179,Biomarker mapping for PD-L1 scoring: study 290 | Biomarker mapping for PD-L1 scoring: study 70 | Biomarker mapping for PD-L1 scoring: study 406 | Biomarker mapping for PD-L1 scoring: study 158 | Biomarker mapping for PD-L1 scoring: study 482
18,Checkpoint biomarkers,125,0.9810175473970593,0.09658505428380774,0.097,Biomarker mapping for PD-1 response: study 73 | Biomarker mapping for PD-1 response: study 377 | Biomarker mapping for PD-1 response: study 25 | Biomarker mapping for PD-1 response: study 429 | Biomarker mapping for PD-1 response: study 149
19,Checkpoint biomarkers,125,0.9835731596876182,0.13065111512115946,0.131,Biomarker mapping for interferon-gamma signatures: study 323 | Biomarker mapping for interferon-gamma signatures: study 335 | Biomarker mapping for interferon-gamma signatures: study 319 | Biomarker mapping for interferon-gamma signatures: study 435 | Biomarker mapping for interferon-gamma signatures: study 287
20,Bridge: Checkpoint biomarkers x Microenvironment profiling,125,0.9866483547494849,0.13875173082963035,0.139,Integrated analysis of PD-1 response with immune niches: study 325 | Integrated analysis of PD-1 response with immune niches: study 157 | Integrated analysis of PD-1 response with immune niches: study 209 | Integrated analysis of PD-1 response with immune niches: study 45 | Integrated analysis of PD-1 response with immune niches: study 281
21,Bridge: Toxicity management x Checkpoint biomarkers,125,0.9857417222894601,0.15307358338170068,0.153,Integrated analysis of endocrinopathies with interferon-gamma signatures: study 132 | Integrated analysis of endocrinopathies with interferon-gamma signatures: study 388 | Integrated analysis of endocrinopathies with interferon-gamma signatures: study 452 | Integrated analysis of endocrinopathies with interferon-gamma signatures: study 376 | Integrated analysis of endocrinopathies with interferon-gamma signatures: study 184
22,Bridge: Microenvironment profiling x Combination strategy,250,0.9986840163452414,0.08268046945084992,0.083,Integrated analysis of macrophage barriers with neoantigen vaccination: study 114 | Integrated analysis of neoantigen vaccination with colitis: study 119 | Integrated analysis of macrophage barriers with neoantigen vaccination: study 346 | Integrated analysis of neoantigen vaccination with colitis: study 303 | Integrated analysis of neoantigen vaccination with colitis: study 171
