component,explained_variance_ratio
PC1,0.03875982958521192
PC2,0.03508753946595368
PC3,0.0328595694639226
PC4,0.030611595473388993
PC5,0.027350343403645734
PC6,0.023492360163857567
PC7,0.019359424226617187
PC8,0.017082803278594644
PC9,0.014520408599076242
PC10,0.012806086532831589
PC11,0.012502150855607323
PC12,0.0121803715127507
PC13,0.011032583134068881
PC14,0.010481641044621685
PC15,0.010136613305085557
PC16,0.00949950139414632
PC17,0.009076055285125756
PC18,0.008917458937219345
PC19,0.008541144520795463
PC20,0.008268413520661275
PC21,0.007491200569699849
PC22,0.007311830473034132
PC23,0.006997408252336696
PC24,0.00671555857282553
PC25,0.0066480061151336645
PC26,0.006531133489768306
PC27,0.006375273724646024
PC28,0.006360735918144046
PC29,0.006205632364789089
PC30,0.006125679484855884
PC31,0.005963378097608022
PC32,0.005941089097546268
PC33,0.005849378085334426
PC34,0.0057115706792323275
PC35,0.005640926360232397
PC36,0.0055251769764100445
PC37,0.005465191221916217
PC38,0.005387892459619208
PC39,0.00534771086044023
PC40,0.005104017469924266
PC41,0.005063309693290293
PC42,0.004838526247320604
PC43,0.004688441808639928
PC44,0.004565252930300887
PC45,0.0044179427289605085
PC46,0.004371607914133018
PC47,0.004174745402735217
PC48,0.004075417632810018
PC49,0.003894222123879317
PC50,0.0037838139995589122
