component,explained_variance_ratio,direction,rank,term,loading
PC1,0.03875982958521192,positive,1,review,0.3236632417591807
PC1,0.03875982958521192,positive,2,frames,0.1970806871624187
PC1,0.03875982958521192,positive,3,landscape review,0.1970806871624187
PC1,0.03875982958521192,positive,4,connects,0.1970806871624187
PC1,0.03875982958521192,positive,5,landscape,0.1970806871624187
PC1,0.03875982958521192,negative,1,study,-0.15985110005433473
PC1,0.03875982958521192,negative,2,related,-0.1379257562450701
PC1,0.03875982958521192,negative,3,immune related,-0.1379257562450701
PC1,0.03875982958521192,negative,4,management,-0.12877491062737814
PC1,0.03875982958521192,negative,5,management immune,-0.12285926593000537
PC2,0.03508753946595368,positive,1,mixed,0.1923172046130919
PC2,0.03508753946595368,positive,2,emphasizes,0.1923172046130919
PC2,0.03508753946595368,positive,3,paper,0.1923172046130919
PC2,0.03508753946595368,positive,4,paper links,0.1923172046130919
PC2,0.03508753946595368,positive,5,contexts,0.1923172046130919
PC2,0.03508753946595368,negative,1,cell,-0.14414742787739113
PC2,0.03508753946595368,negative,2,single cell,-0.13082391277958608
PC2,0.03508753946595368,negative,3,single,-0.13082391277958608
PC2,0.03508753946595368,negative,4,cell profiling,-0.13082391277958608
PC2,0.03508753946595368,negative,5,spatial,-0.12545062892642528
PC3,0.0328595694639226,positive,1,cell profiling,0.22127109885283772
PC3,0.0328595694639226,positive,2,single cell,0.22127109885283772
PC3,0.0328595694639226,positive,3,single,0.22127109885283772
PC3,0.0328595694639226,positive,4,spatial,0.2145087559175922
PC3,0.0328595694639226,positive,5,cell,0.1880185069615911
PC3,0.0328595694639226,negative,1,strategy,-0.11903683097179953
PC3,0.0328595694639226,negative,2,immune related,-0.11188645197471464
PC3,0.0328595694639226,negative,3,related,-0.11188645197471461
PC3,0.0328595694639226,negative,4,management,-0.11172727886449635
PC3,0.0328595694639226,negative,5,combination,-0.09869159846435498
PC4,0.030611595473388993,positive,1,combination,0.22013015944947303
PC4,0.030611595473388993,positive,2,immunotherapy strategy,0.16724876083064638
PC4,0.030611595473388993,positive,3,immunotherapy,0.16724876083064638
PC4,0.030611595473388993,positive,4,combination immunotherapy,0.16724876083064638
PC4,0.030611595473388993,positive,5,priming,0.1656155746801839
PC4,0.030611595473388993,negative,1,interferon,-0.1732577677821922
PC4,0.030611595473388993,negative,2,mapping,-0.14442635507952672
PC4,0.030611595473388993,negative,3,biomarker mapping,-0.14442635507952672
PC4,0.030611595473388993,negative,4,biomarker,-0.14053061225902008
PC4,0.030611595473388993,negative,5,pd,-0.135684476904915
