cluster_id,theme,size,mean_probability,persistence,persistence_display,representative_papers
1,Review hub: osimertinib escape x pan-KRAS strategies,125,0.9872808500127038,0.2086327302922752,0.209,"Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors | Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors | Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors | Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors | Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors"
2,EGFR and ALK resistance,125,0.9851184426433924,0.2885660062466486,0.289,Resistance evolution in ALK-positive tumors: study 70 | Resistance evolution in ALK-positive tumors: study 466 | Resistance evolution in ALK-positive tumors: study 154 | Resistance evolution in ALK-positive tumors: study 410 | Resistance evolution in ALK-positive tumors: study 262
3,Review hub: ALK-positive tumors x SHP2 combinations,125,0.9859033015429483,0.16080660214105436,0.161,"Landscape review of ALK-positive tumors, SHP2 combinations, and immune exclusion | Landscape review of ALK-positive tumors, SHP2 combinations, and immune exclusion | Landscape review of ALK-positive tumors, SHP2 combinations, and immune exclusion | Landscape review of ALK-positive tumors, SHP2 combinations, and immune exclusion | Landscape review of ALK-positive tumors, SHP2 combinations, and immune exclusion"
4,KRAS development,125,0.9850436605157399,0.3013058132081259,0.301,KRAS pathway development in pan-KRAS strategies: study 272 | KRAS pathway development in pan-KRAS strategies: study 136 | KRAS pathway development in pan-KRAS strategies: study 320 | KRAS pathway development in pan-KRAS strategies: study 468 | KRAS pathway development in pan-KRAS strategies: study 372
5,Review hub: CNS progression x KRAS G12C inhibition,125,0.9804170061903946,0.1514101229734218,0.151,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden | Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden | Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden | Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden | Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden"
6,Review hub: EGFR-mutant disease x adaptive signaling,125,0.9842447689980719,0.13208538965069297,0.132,"Landscape review of EGFR-mutant disease, adaptive signaling, and STK11 co-mutation | Landscape review of EGFR-mutant disease, adaptive signaling, and STK11 co-mutation | Landscape review of EGFR-mutant disease, adaptive signaling, and STK11 co-mutation | Landscape review of EGFR-mutant disease, adaptive signaling, and STK11 co-mutation | Landscape review of EGFR-mutant disease, adaptive signaling, and STK11 co-mutation"
7,ctDNA and monitoring,125,0.9810096886100997,0.2501945241406393,0.250,Molecular monitoring for adjuvant surveillance: study 423 | Molecular monitoring for adjuvant surveillance: study 435 | Molecular monitoring for adjuvant surveillance: study 127 | Molecular monitoring for adjuvant surveillance: study 59 | Molecular monitoring for adjuvant surveillance: study 91
8,KRAS development,125,0.9804616081289751,0.22091397419099046,0.221,KRAS pathway development in SHP2 combinations: study 63 | KRAS pathway development in SHP2 combinations: study 143 | KRAS pathway development in SHP2 combinations: study 127 | KRAS pathway development in SHP2 combinations: study 263 | KRAS pathway development in SHP2 combinations: study 259
9,ctDNA and monitoring,125,0.9752589601948352,0.2603529148455517,0.260,Molecular monitoring for minimal residual disease: study 186 | Molecular monitoring for minimal residual disease: study 366 | Molecular monitoring for minimal residual disease: study 278 | Molecular monitoring for minimal residual disease: study 214 | Molecular monitoring for minimal residual disease: study 374
10,KRAS development,125,0.9812703046721469,0.1677525580225632,0.168,KRAS pathway development in adaptive signaling: study 282 | KRAS pathway development in adaptive signaling: study 286 | KRAS pathway development in adaptive signaling: study 486 | KRAS pathway development in adaptive signaling: study 206 | KRAS pathway development in adaptive signaling: study 350
11,Immunotherapy biomarkers,125,0.9781029231848593,0.2746710457605696,0.275,Biomarker selection in PD-L1-high tumors: study 61 | Biomarker selection in PD-L1-high tumors: study 97 | Biomarker selection in PD-L1-high tumors: study 137 | Biomarker selection in PD-L1-high tumors: study 33 | Biomarker selection in PD-L1-high tumors: study 341
12,EGFR and ALK resistance,125,0.9834888604385559,0.19179293731114394,0.192,Resistance evolution in EGFR-mutant disease: study 177 | Resistance evolution in EGFR-mutant disease: study 117 | Resistance evolution in EGFR-mutant disease: study 69 | Resistance evolution in EGFR-mutant disease: study 285 | Resistance evolution in EGFR-mutant disease: study 57
13,KRAS development,125,0.9797860201244875,0.22722188107204389,0.227,KRAS pathway development in KRAS G12C inhibition: study 233 | KRAS pathway development in KRAS G12C inhibition: study 201 | KRAS pathway development in KRAS G12C inhibition: study 465 | KRAS pathway development in KRAS G12C inhibition: study 225 | KRAS pathway development in KRAS G12C inhibition: study 17
14,EGFR and ALK resistance,125,0.9830002026109464,0.1500125549437679,0.150,Resistance evolution in CNS progression: study 108 | Resistance evolution in CNS progression: study 288 | Resistance evolution in CNS progression: study 228 | Resistance evolution in CNS progression: study 352 | Resistance evolution in CNS progression: study 500
15,EGFR and ALK resistance,125,0.9776724993532829,0.12073778671929372,0.121,Resistance evolution in osimertinib escape: study 323 | Resistance evolution in osimertinib escape: study 327 | Resistance evolution in osimertinib escape: study 167 | Resistance evolution in osimertinib escape: study 351 | Resistance evolution in osimertinib escape: study 387
16,ctDNA and monitoring,125,0.9838448655166123,0.16281426900486326,0.163,Molecular monitoring for ctDNA resistance tracking: study 101 | Molecular monitoring for ctDNA resistance tracking: study 77 | Molecular monitoring for ctDNA resistance tracking: study 213 | Molecular monitoring for ctDNA resistance tracking: study 421 | Molecular monitoring for ctDNA resistance tracking: study 273
17,Bridge: KRAS development x Immunotherapy biomarkers,250,1.0,0.10322304030943148,0.103,Integrated analysis of adaptive signaling with STK11 co-mutation: study 114 | Integrated analysis of adaptive signaling with STK11 co-mutation: study 494 | Integrated analysis of STK11 co-mutation with ctDNA resistance tracking: study 315 | Integrated analysis of STK11 co-mutation with ctDNA resistance tracking: study 363 | Integrated analysis of STK11 co-mutation with ctDNA resistance tracking: study 155
18,Immunotherapy biomarkers,250,0.9374843704091772,0.07907775175118067,0.079,Biomarker selection in tumor mutational burden: study 314 | Biomarker selection in tumor mutational burden: study 82 | Biomarker selection in tumor mutational burden: study 498 | Biomarker selection in tumor mutational burden: study 442 | Biomarker selection in tumor mutational burden: study 474
19,Immunotherapy biomarkers,125,0.9795506231704075,0.058132725292895406,0.058,Biomarker selection in STK11 co-mutation: study 39 | Biomarker selection in STK11 co-mutation: study 463 | Biomarker selection in STK11 co-mutation: study 379 | Biomarker selection in STK11 co-mutation: study 255 | Biomarker selection in STK11 co-mutation: study 119
