record_id,title,abstract,year,seed_theme,record_type,text_for_embedding,original_cluster_id,cluster,probability,cluster_display,cluster_theme,pc1_plot,pc2_plot,pc1_cluster,pc2_cluster,pc3_cluster,pc4_cluster
lung-cancer-04-0302,Molecular monitoring for minimal residual disease: study 302,"This study examines minimal residual disease through ctDNA surveillance, molecular monitoring, and longitudinal sampling. It also discusses links to KRAS inhibitor and combination rationale, alongside translational biomarker and patient stratification.",2024,ctDNA and monitoring,core,"Molecular monitoring for minimal residual disease: study 302 [SEP] This study examines minimal residual disease through ctDNA surveillance, molecular monitoring, and longitudinal sampling. It also discusses links to KRAS inhibitor and combination rationale, alongside translational biomarker and patient stratification.",8,9,0.9559219447401551,Cluster 9,ctDNA and monitoring,-0.28589577895806356,-0.04619759582627111,-0.28589577895806356,-0.04619759582627111,0.13431782187233066,0.0901884290672031
lung-cancer-03-0191,Biomarker selection in STK11 co-mutation: study 191,"This study examines STK11 co-mutation through immune exclusion, co-mutation effect, and tumor mutational burden. It also discusses links to line-of-therapy shift and CNS metastasis, alongside mechanism of resistance and molecular profiling.",2020,Immunotherapy biomarkers,core,"Biomarker selection in STK11 co-mutation: study 191 [SEP] This study examines STK11 co-mutation through immune exclusion, co-mutation effect, and tumor mutational burden. It also discusses links to line-of-therapy shift and CNS metastasis, alongside mechanism of resistance and molecular profiling.",18,19,0.9471243900384513,Cluster 19,Immunotherapy biomarkers,0.016171569096877912,-0.22192183293793738,0.016171569096877912,-0.22192183293793738,-0.02681067189646113,-0.15390847803986094
lung-cancer-04-0318,Molecular monitoring for minimal residual disease: study 318,"This study examines minimal residual disease through residual disease, longitudinal sampling, and plasma genotyping. It also discusses links to checkpoint response and selection logic, alongside dose optimization and translational biomarker.",2022,ctDNA and monitoring,core,"Molecular monitoring for minimal residual disease: study 318 [SEP] This study examines minimal residual disease through residual disease, longitudinal sampling, and plasma genotyping. It also discusses links to checkpoint response and selection logic, alongside dose optimization and translational biomarker.",8,9,1.0,Cluster 9,ctDNA and monitoring,-0.28620725594708096,-0.12269751636278507,-0.28620725594708096,-0.12269751636278507,0.0803981902815323,0.0902688507639167
lung-cancer-01-0252,Resistance evolution in CNS progression: study 252,"This study examines CNS progression through targeted escape, CNS metastasis, and ALK progression. It also discusses links to longitudinal sampling and ctDNA surveillance, alongside patient stratification and real-world evidence.",2025,EGFR and ALK resistance,core,"Resistance evolution in CNS progression: study 252 [SEP] This study examines CNS progression through targeted escape, CNS metastasis, and ALK progression. It also discusses links to longitudinal sampling and ctDNA surveillance, alongside patient stratification and real-world evidence.",13,14,0.9920262880383346,Cluster 14,EGFR and ALK resistance,-0.0867419475935216,0.008814386448713428,-0.0867419475935216,0.008814386448713428,0.05133012315586776,0.24818783731115773
lung-cancer-r-0006,"Landscape review of ALK-positive tumors, SHP2 combinations, and immune exclusion","This review connects ALK progression, feedback signaling, immune exclusion, and molecular monitoring. It frames the field around early-phase trial, translational biomarker, mechanism of resistance, and portfolio review.",2021,review-like mixed corpus,review,"Landscape review of ALK-positive tumors, SHP2 combinations, and immune exclusion [SEP] This review connects ALK progression, feedback signaling, immune exclusion, and molecular monitoring. It frames the field around early-phase trial, translational biomarker, mechanism of resistance, and portfolio review.",2,3,1.0,Cluster 3,Review hub: ALK-positive tumors x SHP2 combinations,0.3149228015881069,-0.048004132859384166,0.3149228015881069,-0.048004132859384166,-0.1249987721745969,0.22802939731805189
lung-cancer-03-0118,Biomarker selection in tumor mutational burden: study 118,"This study examines tumor mutational burden through PD-L1 biomarker, immune exclusion, and selection logic. It also discusses links to residual disease and liquid biopsy, alongside patient stratification and validation cohort.",2025,Immunotherapy biomarkers,core,"Biomarker selection in tumor mutational burden: study 118 [SEP] This study examines tumor mutational burden through PD-L1 biomarker, immune exclusion, and selection logic. It also discusses links to residual disease and liquid biopsy, alongside patient stratification and validation cohort.",17,18,0.9578814015038579,Cluster 18,Immunotherapy biomarkers,0.046946443841800196,-0.37189602060347604,0.046946443841800196,-0.37189602060347604,0.059276123680604406,-0.19530697071683947
lung-cancer-03-0412,Biomarker selection in immune exclusion: study 412,"This study examines immune exclusion through PD-L1 biomarker, selection logic, and checkpoint response. It also discusses links to molecular monitoring and ctDNA surveillance, alongside real-world evidence and molecular profiling.",2025,Immunotherapy biomarkers,core,"Biomarker selection in immune exclusion: study 412 [SEP] This study examines immune exclusion through PD-L1 biomarker, selection logic, and checkpoint response. It also discusses links to molecular monitoring and ctDNA surveillance, alongside real-world evidence and molecular profiling.",17,18,0.9076569204761092,Cluster 18,Immunotherapy biomarkers,-0.02044574559452056,-0.3465101742608445,-0.02044574559452056,-0.3465101742608445,0.06317964442780218,-0.136051918334122
lung-cancer-x-0114,Integrated analysis of adaptive signaling with STK11 co-mutation: study 114,"This paper links development strategy and adaptive pathway to co-mutation effect and tumor mutational burden. The framing emphasizes patient stratification, validation cohort, and real-world evidence across mixed translational contexts.",2025,KRAS development + Immunotherapy biomarkers,crossover,"Integrated analysis of adaptive signaling with STK11 co-mutation: study 114 [SEP] This paper links development strategy and adaptive pathway to co-mutation effect and tumor mutational burden. The framing emphasizes patient stratification, validation cohort, and real-world evidence across mixed translational contexts.",16,17,1.0,Cluster 17,Bridge: KRAS development x Immunotherapy biomarkers,-0.014367293009796339,0.10764973396912592,-0.014367293009796339,0.10764973396912592,-0.2656869783104661,-0.330164078753127
lung-cancer-01-0409,Resistance evolution in EGFR-mutant disease: study 409,"This study examines EGFR-mutant disease through acquired resistance, line-of-therapy shift, and targeted escape. It also discusses links to SHP2 biology and adaptive pathway, alongside translational biomarker and portfolio review.",2020,EGFR and ALK resistance,core,"Resistance evolution in EGFR-mutant disease: study 409 [SEP] This study examines EGFR-mutant disease through acquired resistance, line-of-therapy shift, and targeted escape. It also discusses links to SHP2 biology and adaptive pathway, alongside translational biomarker and portfolio review.",11,12,0.9912442873500005,Cluster 12,EGFR and ALK resistance,-0.038020678343557636,0.13715649643432662,-0.038020678343557636,0.13715649643432662,0.025466240351513104,0.19205491537001987
lung-cancer-r-0080,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden","This review connects targeted escape, KRAS inhibitor, co-mutation effect, and ctDNA surveillance. It frames the field around mechanism of resistance, validation cohort, molecular profiling, and early-phase trial.",2023,review-like mixed corpus,review,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden [SEP] This review connects targeted escape, KRAS inhibitor, co-mutation effect, and ctDNA surveillance. It frames the field around mechanism of resistance, validation cohort, molecular profiling, and early-phase trial.",4,5,0.9812821006882478,Cluster 5,Review hub: CNS progression x KRAS G12C inhibition,0.3031103710973715,0.07745350951488682,0.3031103710973715,0.07745350951488682,-0.12766830170955157,0.09343433328023623
lung-cancer-x-0255,Integrated analysis of STK11 co-mutation with ctDNA resistance tracking: study 255,"This paper links selection logic and tumor mutational burden to plasma genotyping and liquid biopsy. The framing emphasizes patient stratification, validation cohort, and portfolio review across mixed translational contexts.",2022,Immunotherapy biomarkers + ctDNA and monitoring,crossover,"Integrated analysis of STK11 co-mutation with ctDNA resistance tracking: study 255 [SEP] This paper links selection logic and tumor mutational burden to plasma genotyping and liquid biopsy. The framing emphasizes patient stratification, validation cohort, and portfolio review across mixed translational contexts.",16,17,1.0,Cluster 17,Bridge: KRAS development x Immunotherapy biomarkers,-0.1693192904243273,-0.012940886016739832,-0.1693192904243273,-0.012940886016739832,-0.3312595104347809,-0.2315903978157103
