component,explained_variance_ratio
PC1,0.04118324136913537
PC2,0.03574860412859799
PC3,0.03417935813720998
PC4,0.0328898102858046
PC5,0.028716606916501398
PC6,0.02378508738980653
PC7,0.02089516396898999
PC8,0.01994743689324402
PC9,0.01725977604881932
PC10,0.016860628961748662
PC11,0.015023470042398238
PC12,0.014236234747555568
PC13,0.01350439834896021
PC14,0.013289485573004065
PC15,0.012587131604903322
PC16,0.01147165413572175
PC17,0.010683191906884888
PC18,0.010074271212201325
PC19,0.009211698319728963
PC20,0.008687285803044854
PC21,0.007092593163505474
PC22,0.0068502479769355145
PC23,0.006736514954723319
PC24,0.006487841170649919
PC25,0.006264372984331873
PC26,0.006119683488107524
PC27,0.005895515756222342
PC28,0.005836032567290207
PC29,0.005800212731404773
PC30,0.005721086702713802
PC31,0.005614708366656261
PC32,0.005551551622674149
PC33,0.0054110812759716135
PC34,0.005295453598133267
PC35,0.00523600014110778
PC36,0.00513599148791487
PC37,0.004996123281870521
PC38,0.0049175105789076535
PC39,0.004781238600639474
PC40,0.004583561946864209
PC41,0.00448212150891489
PC42,0.0044637877645834455
PC43,0.004239747819422531
PC44,0.004120414078266695
PC45,0.00408252486250346
PC46,0.003935520557326753
PC47,0.003880412961854786
PC48,0.003688671858435344
PC49,0.0035361257354640354
PC50,0.003361852616413965
