component,explained_variance_ratio,direction,rank,term,loading
PC1,0.04118324136913537,positive,1,review,0.25206016155168687
PC1,0.04118324136913537,positive,2,field,0.1503491961928193
PC1,0.04118324136913537,positive,3,landscape review,0.1503491961928193
PC1,0.04118324136913537,positive,4,frames,0.1503491961928193
PC1,0.04118324136913537,positive,5,review connects,0.1503491961928193
PC1,0.04118324136913537,negative,1,molecular monitoring,-0.15348530025237314
PC1,0.04118324136913537,negative,2,monitoring,-0.15348530025237314
PC1,0.04118324136913537,negative,3,genotyping,-0.13765117353400666
PC1,0.04118324136913537,negative,4,plasma,-0.13765117353400666
PC1,0.04118324136913537,negative,5,plasma genotyping,-0.13765117353400666
PC2,0.03574860412859799,positive,1,kras,0.2423959665555961
PC2,0.03574860412859799,positive,2,pathway,0.1405170839115157
PC2,0.03574860412859799,positive,3,kras g12c,0.1373875627710759
PC2,0.03574860412859799,positive,4,inhibition,0.1373875627710759
PC2,0.03574860412859799,positive,5,g12c inhibition,0.1373875627710759
PC2,0.03574860412859799,negative,1,selection,-0.19543421992543009
PC2,0.03574860412859799,negative,2,biomarker selection,-0.16858735872860356
PC2,0.03574860412859799,negative,3,pd l1,-0.15502837338919723
PC2,0.03574860412859799,negative,4,pd,-0.15502837338919723
PC2,0.03574860412859799,negative,5,l1,-0.15502837338919723
PC3,0.03417935813720998,positive,1,kras,0.2115577527885603
PC3,0.03417935813720998,positive,2,pathway,0.16723982540727764
PC3,0.03417935813720998,positive,3,pathway development,0.15434434591924936
PC3,0.03417935813720998,positive,4,kras pathway,0.14831042538624226
PC3,0.03417935813720998,positive,5,study,0.13077549020344265
PC3,0.03417935813720998,negative,1,review,-0.14810902128901135
PC3,0.03417935813720998,negative,2,paper links,-0.14668252022255995
PC3,0.03417935813720998,negative,3,paper,-0.14668252022255995
PC3,0.03417935813720998,negative,4,emphasizes,-0.14668252022255995
PC3,0.03417935813720998,negative,5,mixed translational,-0.14668252022255995
PC4,0.0328898102858046,positive,1,alk,0.157825489327865
PC4,0.0328898102858046,positive,2,resistance,0.14377789317676934
PC4,0.0328898102858046,positive,3,positive tumors,0.14148028133898927
PC4,0.0328898102858046,positive,4,positive,0.14148028133898927
PC4,0.0328898102858046,positive,5,alk positive,0.14148028133898927
PC4,0.0328898102858046,negative,1,mutation,-0.13675418485131552
PC4,0.0328898102858046,negative,2,stk11,-0.1240259574904106
PC4,0.0328898102858046,negative,3,stk11 mutation,-0.1240259574904106
PC4,0.0328898102858046,negative,4,selection,-0.12369768755308548
PC4,0.0328898102858046,negative,5,kras,-0.12294751077313386
