component,explained_variance_ratio
PC1,0.040233939377740106
PC2,0.035184966477302196
PC3,0.03232698247798786
PC4,0.03169540832133256
PC5,0.028624109914666077
PC6,0.020290608824657698
PC7,0.01982837508443676
PC8,0.019088773920852443
PC9,0.018508881143729915
PC10,0.01618981256520749
PC11,0.014520460888652402
PC12,0.012906298165185853
PC13,0.012515117441734967
PC14,0.011711157146283456
PC15,0.011579717112021621
PC16,0.011180505816371443
PC17,0.010522908246223069
PC18,0.00975735782896939
PC19,0.009489202380860482
PC20,0.008349636286403592
PC21,0.007167788502152241
PC22,0.0068371243562124805
PC23,0.006677398365356099
PC24,0.006634734702874582
PC25,0.006552492357153985
PC26,0.006336887909891993
PC27,0.006264681592095656
PC28,0.006233715904808951
PC29,0.00609627767440292
PC30,0.006018777129436572
PC31,0.0059818901616291425
PC32,0.005923595642871324
PC33,0.005729166334635395
PC34,0.005639678329819581
PC35,0.005527447833820584
PC36,0.0054249392673737795
PC37,0.0053235261008734444
PC38,0.005165174504778009
PC39,0.0050140296427449065
PC40,0.0048141759838219046
PC41,0.004769886687329022
PC42,0.00475517927531859
PC43,0.004504252847646759
PC44,0.004269577978013223
PC45,0.004227106959020541
PC46,0.004144789262220208
PC47,0.004107692401777796
PC48,0.0038200482511296313
PC49,0.0037133558147469463
PC50,0.0032892594950817635
