component,explained_variance_ratio,direction,rank,term,loading
PC1,0.040233939377740106,positive,1,review,0.2992737097224361
PC1,0.040233939377740106,positive,2,field,0.17653068837357264
PC1,0.040233939377740106,positive,3,landscape review,0.17653068837357264
PC1,0.040233939377740106,positive,4,landscape,0.17653068837357264
PC1,0.040233939377740106,positive,5,connects,0.17653068837357264
PC1,0.040233939377740106,negative,1,degraders,-0.16494678252458786
PC1,0.040233939377740106,negative,2,exposure,-0.1540494368678553
PC1,0.040233939377740106,negative,3,translation,-0.1443490892836075
PC1,0.040233939377740106,negative,4,study,-0.12703719859667287
PC1,0.040233939377740106,negative,5,exposure translation,-0.12613619698328973
PC2,0.035184966477302196,positive,1,integrated analysis,0.18039556894264325
PC2,0.035184966477302196,positive,2,analysis,0.18039556894264325
PC2,0.035184966477302196,positive,3,framing emphasizes,0.18039556894264325
PC2,0.035184966477302196,positive,4,framing,0.18039556894264325
PC2,0.035184966477302196,positive,5,mixed,0.18039556894264325
PC2,0.035184966477302196,negative,1,ligase,-0.17556225434946338
PC2,0.035184966477302196,negative,2,ligase selection,-0.10748646912265566
PC2,0.035184966477302196,negative,3,selection,-0.10748646912265566
PC2,0.035184966477302196,negative,4,e3 ligase,-0.10748646912265566
PC2,0.035184966477302196,negative,5,e3,-0.10748646912265566
PC3,0.03232698247798786,positive,1,ligase,0.2899701616495918
PC3,0.03232698247798786,positive,2,e3,0.16581843987443626
PC3,0.03232698247798786,positive,3,e3 ligase,0.16581843987443626
PC3,0.03232698247798786,positive,4,selection,0.16581843987443626
PC3,0.03232698247798786,positive,5,ligase selection,0.16581843987443626
PC3,0.03232698247798786,negative,1,review,-0.16086304829093329
PC3,0.03232698247798786,negative,2,connects,-0.0991026351252868
PC3,0.03232698247798786,negative,3,field,-0.0991026351252868
PC3,0.03232698247798786,negative,4,review connects,-0.0991026351252868
PC3,0.03232698247798786,negative,5,sep review,-0.0991026351252868
PC4,0.03169540832133256,positive,1,ternary complex,0.25591885716948404
PC4,0.03169540832133256,positive,2,complex,0.25591885716948404
PC4,0.03169540832133256,positive,3,ternary,0.25591885716948404
PC4,0.03169540832133256,positive,4,complex modeling,0.19555700061932865
PC4,0.03169540832133256,positive,5,modeling,0.19555700061932865
PC4,0.03169540832133256,negative,1,design,-0.10451913461767814
PC4,0.03169540832133256,negative,2,degrader,-0.1011462563028452
PC4,0.03169540832133256,negative,3,translation,-0.0871302672461309
PC4,0.03169540832133256,negative,4,ligase,-0.08579171702954658
PC4,0.03169540832133256,negative,5,exposure,-0.08138638603851552
